ind,constrains,structura_decoding,neurological_decoding,ops,target,sd_tg_cosine,nd_tg_cosine,sd_nd_diff
0,"[[""Lovely"", ""amod""], [""lovely"", ""amod""], [""Munich"", ""root""], [""munich"", ""root""], [""woman"", ""root""], [""Munich"", ""appos""], [""munich"", ""appos""], [""woman"", ""appos""], [""hvar"", ""nmod""], [""nine"", ""nmod""], [""date"", ""appos""]]
","Beautiful Munich woman 2018: Beautiful Munich girl 2018 in Hvar: Nine dates
","Beautiful Munich girl 2018: Beautiful Munich girl 2018 in Hvar: Nine dates
","Beautiful Munich girl 2018: Beautiful Munich girl 2018 in Hvar: Nine dates
","The Beauty of Munich 2018: the Beauty of Munich 2018 in Hvar: Nine dates
",0.7071067811865476,0.75,-0.04289321881345243
2,"[[""yes"", ""advmod""], [""want"", ""root""]]
","Yeah, she wants...
","Yeah, she wants to...
","Yeah, she wants to...
","Yes, she wants to...
",0.75,0.75,0.0
3,"[[""Lovely"", ""amod""], [""lovely"", ""amod""], [""Munich"", ""dep""], [""munich"", ""dep""], [""woman"", ""dep""]]
","""Beautiful Munich girl"" 2018 will be!
","""Beautiful Münchnerin"" 2018 will be!
","""Beautiful Münchnerin"" 2018 will be!
","to become ""The Beauty of Munich"" in 2018!
",0.6681531047810609,0.5773502691896258,0.0908028355914351
4,"[[""afternoon"", ""obl""], [""wait"", ""root""], [""one"", ""det""], [""surprise"", ""nsubj""], [""candidate"", ""nmod""], [""romantic"", ""amod""], [""candle"", ""compound""], [""light"", ""compound""], [""shooting"", ""obj""], [""SOLARIS"", ""flat""], [""solaris"", ""flat""], [""alone"", ""advmod""], [""deny"", ""parataxis""], [""page"", ""conj""], [""time"", ""nmod""], [""model"", ""flat""], [""Fabian"", ""appos""], [""fabian"", ""appos""]]
","In the afternoon, another surprise awaits our candidates: they will not contest the romantic candlelight shooting before MY SOLARIS alone, but at the side of Male-Model Fabian!
","In the afternoon another surprise awaits our candidates: they will not contest the romantic candlelight shooting before the MY SOLARIS alone, but at the side of Male-Model Fabian!
","In the afternoon another surprise awaits our candidates: they will not contest the romantic candlelight shooting before the MY SOLARIS alone, but at the side of Male-Model Fabian!
","In the afternoon there is another surprise waiting for our contestants: they will be competing for the romantic candlelight photo shoot at MY SOLARIS not alone, but together with a male-model Fabian!
",0.6668859288553503,0.6668859288553503,0.0
5,"[[""hvar"", ""root""], [""flirt"", ""flat""], [""flirt"", ""acl""], [""seduce"", ""conj""], [""none"", ""nmod""], [""simple"", ""amod""], [""task"", ""obj""], [""girl"", ""nmod""]]
","Hvar - flirt, flirt, seduce - no simple tasks for our girls.
","Hvar - flirting, flirting, seducing - no easy tasks for our girls.
","Hvar - flirting, flirting, seducing - no easy tasks for our girls.
","Hvar with its flirting, coquetting, and seduction is not an easy task for our girls.
",0.4444444444444444,0.6666666666666666,-0.2222222222222222
8,"[[""romantic"", ""amod""], [""shooting"", ""nsubj""], [""video"", ""obl""]]
","The romantic shoot is in the video:
","The romantic shoot is available in the video:
","The romantic shoot is available in the video:
","You may watch the romantic photoshoot on the video:
",0.50709255283711,0.4629100498862757,0.04418250295083426
10,"[[""Berlin"", ""nsubj""], [""berlin"", ""nsubj""], [""DFB"", ""flat""], [""dfb"", ""flat""], [""president"", ""flat""], [""Reinhardt"", ""appos""], [""reinhardt"", ""appos""], [""Grindel"", ""flat""], [""grindel"", ""flat""], [""see"", ""root""], [""currently"", ""advmod""], [""none"", ""nmod""], [""basis"", ""obj""], [""one"", ""det""], [""return"", ""nmod""], [""Mesut"", ""nmod""], [""mesut"", ""nmod""], [""Ozil"", ""flat""], [""ozil"", ""flat""], [""National"", ""obl""], [""national"", ""obl""], [""team"", ""obl""]]
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil to return to the national team.
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil's return to the national team.
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil's return to the national team.
","Berlin - The president of DFB Reinhard Grindel sees no basis for the returning of Mesut Özil to the national team.
",0.7590721152765897,0.7333333333333333,0.025738781943256406
11,"[[""one"", ""det""], [""question"", ""ccomp""], [""naturally"", ""advmod""], [""depend"", ""acl""], [""man"", ""nsubj""], [""conversation"", ""obl""], [""come"", ""ccomp""], [""even"", ""advmod""], [""speak"", ""ccomp""], [""one"", ""obj""], [""apparently"", ""advmod""], [""feel"", ""ccomp""], [""statement"", ""obl""], [""lay"", ""advcl""], [""say"", ""root""], [""Grindel"", ""nsubj""], [""grindel"", ""nsubj""], [""soccer"", ""compound""], [""podcast"", ""obl""], [""phrase"", ""appos""], [""mower"", ""appos""], [""picture"", ""nmod""], [""newspaper"", ""flat""]]
","""This is a question that, of course, depends on the fact that you get into the conversation, that you also talk to him about why he apparently felt one or the other as stated in his statement,"" said Grindel in the football podcast ""Phrasic mower"" of the ""Image newspaper.
","""This is a question that, of course, depends on the fact that you get into the conversation, that you also talk to him about why he apparently felt one or the other as stated in his statement,"" said Grindel in the football podcast ""Phrasenmäher"" of the ""Bild-Zeitung"".
","""This is a question that of course depends on the fact that you get into the conversation, that you also talk to him about why he apparently felt one or the other as stated in his statement,"" said Grindel in the football podcast ""Phrasenmäher"" of the ""Bild-Zeitung"".
","There is an open question so you get into a conversation, you talk to him about why you have apparently felt that way, how is stated in his statement, said Grindel in football Podcast ""Phrasenmäher"" of the newspaper ""Bild-Zeitung"".
",0.6689936080056726,0.7398300378117159,-0.07083642980604321
12,"[[""despite"", ""case""], [""well"", ""advmod""], [""month"", ""amod""], [""-"", ""amod""], [""long"", ""amod""], [""debate"", ""obl""], [""around"", ""case""], [""photo"", ""nmod""], [""Ozil"", ""nmod""], [""ozil"", ""nmod""], [""Turkish"", ""amod""], [""turkish"", ""amod""], [""president"", ""nmod""], [""reception"", ""appos""], [""Tayyip"", ""flat""], [""tayyip"", ""flat""], [""Erdogan"", ""flat""], [""erdogan"", ""flat""], [""sorry"", ""root""], [""resignation"", ""obj""], [""92"", ""amod""], [""time"", ""amod""], [""national"", ""nmod""], [""player"", ""nmod""], [""Ozil"", ""appos""], [""ozil"", ""appos""]]
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-time national player ÖzIL.
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-time national player Özil.
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-time national player Özil.
","In spite of the debate going on for months about the photos of Özil with the Turkish President Recep Tayyip Erdogan, he regrets the return of the 92-match national player Özil.
",0.631578947368421,0.6488856845230502,-0.01730673715462916
13,"[[""would"", ""aux""], [""pleased"", ""root""], [""Mesut"", ""nsubj""], [""mesut"", ""nsubj""], [""Ozil"", ""flat""], [""ozil"", ""flat""], [""continue"", ""advmod""], [""Germany"", ""obl""], [""germany"", ""obl""], [""play"", ""advcl""]]
","""I would have been very pleased if Mesut Özil had continued to play for Germany.
","""I would have been happy if Mesut Özil had continued playing for Germany.
","""I would have been happy if Mesut Özil had continued playing for Germany.
","I would be happy if Mesut Özil continued to play for Germany.
",0.8432740427115678,0.8432740427115678,0.0
