ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
1,"[[""www.ecs-webhosting.de"", ""root""], [""04.05.2018"", ""obl""]]
","By az, updated on 04.
","By az, updated on 04.05.2018 at 11:11
","By az, updated on 04 / 05 / 2018 at 11: 11
","From A-Z, updated on 04/05/2018 at 11:11
",0.6666666666666666,0.3333333333333333,-0.3333333333333333
12,"[[""debate"", ""obl""], [""to"", ""root""], [""Regret"", ""root""], [""sth"", ""root""], [""he"", ""nsubj""], [""resignation"", ""obj""]]
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-time national player Ozil.
","Despite the month-long debate over Özil's photos with Turkish President Recep Tayyip Erdogan, he regretted the resignation of his 92-time national player.
","Despite the now months-long debate over the photos of Özil with Turkish President Recep Tayyip Erdogan, he regretted the resignation of 92-times international Özil.
","In spite of the debate going on for months about the photos of Özil with the Turkish President Recep Tayyip Erdogan, he regrets the return of the 92-match national player Özil.
",0.9733285267845753,0.631578947368421,-0.34174957941615425
19,"[[""clock"", ""obl""], [""fire"", ""obl""], [""Angererhofweg"", ""obl""], [""to"", ""root""], [""call"", ""root""], [""sb"", ""root""], [""out"", ""root""]]
","At 2.13 p.
","At 2.13 p.m., the professional fire brigade Linz was alarmed at the Angererhofweg.
","At 2: 13 p.m., the Linz Fire Department was alerted to a fire in Angererhofweg.
","At 14.13 the Linz professional fire department was notified of a fire in Angererhofweg.
",0.45226701686664544,0.3333333333333333,-0.11893368353331213
21,"[[""professional"", ""nsubj""], [""fire"", ""nsubj""], [""brigade"", ""nsubj""], [""or"", ""nsubj""], [""department"", ""nsubj""], [""to"", ""root""], [""jerk"", ""root""], [""to"", ""obl""], [""arrive"", ""obl""], [""somewhere"", ""obl""], [""at"", ""obl""], [""sb"", ""obl""], [""'s"", ""obl""], [""hut"", ""obj""]]
","The fire brigade moved out and found the hut in full fire on arrival.
","The fire brigade moved out and found the hut in full fire.
","The professional fire brigade moved out and found the hut on arrival in full fire.
","The professional fire brigade drove out and on arrival found the hut fully in flames.
",0.9428090415820635,0.7035264706814485,-0.239282570900615
24,"[[""the"", ""nsubj""], [""cause"", ""root""], [""of"", ""root""], [""the"", ""root""], [""fire"", ""root""]]
","It could be the cause of fire.
","That might be the cause of fire.
","This could possibly be the cause of the fire.
","This was the possible cause of the fire.
",0.6,0.6,0.0
27,"[[""he"", ""nsubj""], [""considerable"", ""root""], [""owner"", ""nsubj""], [""www.toucanart.com"", ""obl""], [""collector"", ""obj""], [""'s"", ""obj""], [""item"", ""obj""]]
","It may be considerable, however, because the owner had many collectors' items in his garden hut.
","However, it should be considerable, for the owner had many collectors' items in his garden hut.
","However, it should be considerable, because the owner had many collectibles in his garden hut.
","The damage could be considerable as the owner stored many collectibles in his garden hut.
",0.8362420100070908,0.5017452060042544,-0.3344968040028363
28,"[[""moth"", ""nsubj""], [""to"", ""root""], [""defend"", ""root""], [""oneself"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""www.xxllashes.de"", ""nsubj""], [""www.filmmacher.at"", ""obj""]]
","Angry mother defends herself: Lindsay Lohan attacks refugee family on open street
","Angry mother resists: Lindsay Lohan attacks refugee family on open street
","Angry mother fights back: Lindsay Lohan attacks refugee family in the street
","Angry mother defends herself: Lindsay Lohan attacks refugee family on the street
",0.9090909090909091,0.9534625892455924,0.04437168015468329
30,"[[""you"", ""nsubj""], [""child"", ""obj""], [""and"", ""obj""], [""youth"", ""obj""], [""welfar"", ""obj""], [""Service"", ""obj""], [""to"", ""root""], [""snatch"", ""root""], [""sth"", ""root""], [""away"", ""root""], [""from"", ""root""], [""sb"", ""root""]]
","She apparently wanted to snatch the children from an alleged refugee family.
","She apparently wanted to take the children from an alleged refugee family.
","She apparently wanted to snatch the children from an alleged refugee family.
","She apparently wanted to lure the children away from the alleged refugee family.
",0.8888888888888888,0.8432740427115678,-0.04561484617732103
31,"[[""www.xxllashes.de"", ""nsubj""], [""www.sycube.at"", ""root""], [""she"", ""nsubj""], [""child"", ""obj""], [""and"", ""obj""], [""youth"", ""obj""], [""welfar"", ""obj""], [""Service"", ""obj""]]
","Lindsay Lohan (b.
","Lindsay Lohan (32, ""Herbie: Fully Loaded"") has streamed live herself, as she apparently wants to kidnap a family in Moscow.
","Lindsay Lohan, 32, of ""Herbie: Fully Loaded,"" live-streamed herself apparently trying to snatch the children from a family in Moscow.
","Lindsay Lohan (32, ‘Herbie: Fully Loaded’) has live streamed how she openly wanted to tear children away from a family in Moscow.
",0.4,0.38138503569823695,-0.01861496430176307
32,"[[""the"", ""nsubj""], [""to"", ""root""], [""tell"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""American"", ""obj""], [""Recording"", ""obj""]]
","This is reported by the U.
","This is reported by the US portal ""TMZ"" and releases a partial recording of the stream.
","This is reported by the US portal ""TMZ"" and publishes a partial recording of the stream.
","This was reported by US portal ""TMZ"" with publication of a partial recording of the stream.
",0.43301270189221935,0.43301270189221935,0.0
37,"[[""the"", ""obl""], [""to"", ""root""], [""deliver"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""she"", ""nsubj""], [""clip"", ""obl""], [""to"", ""obj""], [""prove"", ""obj""], [""sth"", ""obj""], [""to"", ""obj""], [""sb"", ""obj""]]
","To all of this, she's not providing any evidence in the clip.
","She doesn't provide any evidence for all this in the clip.
","She provides no evidence for any of this in the clip.
","Yet she does not offer any proof in the clip.
",0.4629100498862757,0.3380617018914066,-0.1248483479948691
38,"[[""the"", ""nsubj""], [""our"", ""nsubj""], [""world"", ""nsubj""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""the"", ""obj""], [""video"", ""obl""], [""she"", ""nsubj""], [""family"", ""obj""], [""road"", ""obj""]]
","""The whole world sees it right now,"" Lohan says in the video, following the family along the street.
","""The whole world is seeing it right now,"" Lohan says in the video, following the family along the street.
","""The whole world is watching,"" Lohan can be heard saying in the video as she continues to follow the family down the street.
","The whole world is watching, says Lohan in the video as she follows the family further down the street.
",0.9375,0.7216878364870323,-0.21581216351296773
55,"[[""stock"", ""nsubj""], [""exchange"", ""nsubj""], [""supervision"", ""nsubj""], [""to"", ""root""], [""take"", ""root""], [""proceedings"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""him"", ""obj""], [""fraud"", ""obl""], [""oneself"", ""obj""], [""both"", ""nsubj""]]
","The U.
","The U.S. authorities sued him for fraud, but now both have agreed.
","The US Securities and Exchange Commission sued him for fraud, but the two have now come to an agreement.
","The US Securities and Exchange Commission sued him for fraud, but the parties have now agreed to a settlement.
",0.4082482904638631,0.3333333333333333,-0.07491495713052976
56,"[[""aktuell.ruhr"", ""nsubj""], [""-uni"", ""nsubj""], [""-bochum"", ""nsubj""], ["".de"", ""nsubj""], [""to"", ""root""], [""pay"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""for"", ""root""], [""sth"", ""root""], [""head"", ""nsubj""], [""oneself"", ""obj""], [""supervisory"", ""obl""], [""board"", ""obl""], [""chairman"", ""nsubj""], [""he"", ""nsubj""]]
","Tesla and Musk have to pay, and the CEO is withdrawing from the Supervisory Board, but may remain CEO.
","Tesla and Musk have to pay, and the CEO is withdrawing from the Supervisory Board.
","Tesla and Musk have to pay, and the Tesla chief executive is retiring from the supervisory board, but he is allowed to remain chief executive.
","Tesla and Musk have to pay, and the Tesla boss steps down as chairman, but he may remain as CEO.
",0.9045340337332909,0.7272727272727273,-0.1772613064605636
57,"[[""party"", ""root""], [""conference"", ""root""]]
","Party Congress of British Conservatives
","British Conservative Party Congress
","British Conservative Party Conference
","The British Conservative Party Conference
",0.75,0.4472135954999579,-0.3027864045000421
61,"[[""referendum"", ""root""]]
","referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
","Referendum for a new state name
",0.75,0.75,0.0
63,"[[""Macedonia"", ""nsubj""], [""country"", ""root""], [""Macedonia"", ""nsubj""]]
","Macedonia is a country in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in northern Greece.
","Macedonia is a state in the Balkans, but Macedonia is also a province in Northern Greece.
",0.8888888888888888,0.7777777777777778,-0.11111111111111105
64,"[[""www.giz.de"", ""nsubj""], [""to"", ""root""], [""argue"", ""root""], [""or"", ""root""], [""quarrel"", ""root""], [""with"", ""root""], [""sb"", ""root""], [""Namensdopplung"", ""obl""], [""to"", ""obl""], [""be"", ""obl""], [""the"", ""obl""], [""anniversary"", ""obl""], [""of"", ""obl""]]
","Skopje and Athens have been arguing over the double names for years already.
","Skopje and Athens have been arguing about these names for years.
","Skopje and Athens have been arguing over these duplications of names for years.
","Skopje and Athens have been arguing about the duplicate name for years.
",0.8660254037844387,0.6681531047810609,-0.19787229900337777
66,"[[""country"", ""nsubj""], [""Macedonia"", ""obj""], [""to"", ""root""], [""be"", ""root""], [""called"", ""root""], [""Sunday"", ""obl""], [""population"", ""nsubj""], [""it"", ""nsubj""]]
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on this Sunday - whether it is going well?
","The state of Macedonia is to be called North Macedonia in the future and the population will vote on this Sunday - whether it is okay?
","The state of Macedonia is to be called Northern Macedonia in future and the population will vote on this on Sunday - will it be all right?
","In future, the state of Macedonia is to be called North Macedonia and the population will vote on this measure on Sunday from the population - will it turn out okay?
",0.8894991799933214,0.6900655593423543,-0.19943362065096715
